,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil reserves in World,683.3755297,696.4713444,725.5745949,737.3217744,774.4486902,802.5594915,907.6736507,938.8821156,1026.70607,1027.269922,1027.506912,1097.840971,1103.825709,1104.298906,1117.970052,1126.165378,1148.759989,1162.059312,1142.411945,1281.826682,1300.925173,1305.386381,1354.860509,1362.095921,1366.186608,1374.385994,1383.727818,1418.986276,1489.955769,1529.200364,1636.488484,1675.302661,1688.260904,1695.523515,1699.980306,1697.589031
Oil reserves in Canada,39.52752149,40.1753341,40.31209671,40.49126077,40.53176677,40.93903875,41.10200095,41.20126247,41.46775961,41.29570246,40.29383779,40.09835982,39.63399005,39.49572134,48.1492058,48.36655521,48.942626,48.80309284,49.82308888,181.5604463,181.503696,180.940955,180.4000132,179.9029508,179.576041,180.0441149,179.3619549,178.8340306,176.3499202,175.0152239,174.848026,174.166813,173.7160947,173.0375355,172.1947011,172.1947011
Oil reserves in Mexico,47.22399902,56.9980011,56.9980011,57.09600067,56.40999985,55.5929985,54.88000107,54.11000061,53.01200104,51.98300171,51.29800034,50.92499924,51.22499847,50.77600098,49.77500153,48.79600143,48.47200012,47.8219986,21.63800049,21.5189991,20.18600082,18.7670002,17.19599915,16.04100037,14.80270028,13.66969967,12.84960008,12.18659985,11.86549962,11.86550045,11.6912998,11.39370036,11.42390037,11.07880044,10.81640029,10.81640029
Oil reserves in United States,36.53300047,36.49400043,35.079,35.63600063,36.08899927,36.36000013,35.0539999,35.40300083,35.06300068,34.2699995,33.83999968,32.14599943,31.19600105,30.17900085,29.62700081,29.75,29.84000015,30.51899958,28.55800056,29.67099953,30.39000034,30.43899918,30.671,29.35000086,29.29900026,29.92199993,29.44400024,30.45999908,28.39599991,30.87199879,34.98999977,39.77500057,44.17999935,48.46299839,54.96199799,54.96199799
