,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Argentina,275.6739726,292.8641096,318.6312329,348.1584699,361.5320548,399.4646575,431.5380822,444.115847,433.6356164,423.3873973,406.0909589,408.0218579,441.7150685,466.2049315,487.2827397,505.7103825,518.9254795,517.0821918,520.1726027,509.0065574,490.7945205,465.3676712,459.4049315,481.2021858,492.2865753,517.4109589,525.6115068,586.8710383,629.8652055,695.4920548,757.9161644,822.7989071,877.430137,889.9479452,847.4361644,831.082,910.434,898.957,900.149,868.056,838.6978462,837.6189981,798.0462263,771.604452,716.0365762,704.2615174,649.3722938,652.2691995,643.3103735,636.1461114,636.6769426
Oil production in Brazil,96,117,147,161,176,167,175,171,174,181,178,173,167,166,172,188,220,268,340,473,560,591,589,573,613,650,643,652,664,693,718,807,868,1003,1133,1270.931067,1337.181919,1498.990755,1555.298357,1542.526854,1712.872376,1809.119125,1832.658326,1898.875262,2029.036866,2137.413675,2192.907317,2149.25145,2114.114167,2346.31094,2526.950349
Oil production in Colombia,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183,307,388,380,407,446,430,442,458,460,591,635,667,775,838,687,604,578,541,528.29,526.1618192,529.3136712,531.439035,588.35,670.6,786.1118356,915.2642466,944.120082,1003.988,990.3786301,1007.611178
Oil production in Ecuador,8,7,6,5,4,4,4,78,209,177,161,188,184,204,216,206,213,213,240,261,286,298,176,309,286,292,307,328,353,388,395,393,397,385,383,403,410,394,420,528,534,537.6796175,513.0880745,506.7185792,488.0657534,488.0870101,500.608001,504.6155356,527.3535605,556.5539029,543.0948606
Oil production in Peru,66,66,74,77,75,75,64,67,73,79,73,77,92,152,193,196,194,196,171,185,189,179,165,142,131,130,116,117,127,128,123,121,120,116,107,96.81,94.746,94.713,88.713,85.558,92.0393863,96.55018082,96.02552603,98.68972404,106.9175014,112.8734055,109.1840411,109.9445792,111.8432164,123.9035479,112.6078164
Oil production in Trinidad & Tobago,135,153,179,191,157,140,129,141,166,187,216,212,229,230,214,212,189,177,160,170,176,169,155,151,149,150,149,144,134,141,142,141,135,134,141,138.1065191,134.4204795,153.6426301,163.7709397,151.895776,170.4253397,177.4501808,154.2645205,152.278724,149.7561342,147.1111452,138.7376301,118.0495929,117.7116521,115.8129753,110.177126
Oil production in Venezuela,3503,3402,3576,3639,3631,3754,3615,3301,3455,3060,2422,2371,2314,2227,2425,2228,2163,1954,1852,1853,1744,1886,1910,1998,2012,2244,2501,2499,2592,2752,2959,3137,3321,3480,3126,3096.994913,3169.165292,2974.374982,2868.241134,3304.950918,3307.888575,3335.595411,3229.655616,3221.670699,3033.405918,2838.188027,2757.848082,2700.885191,2677.556164,2685.053151,2626.412603
Oil production in Other S. & Cent. America,47.13452055,54.41109589,78.21424658,84.57131148,83.80465753,63.94671233,80.38465753,89.23715847,89.73890411,85.59616438,77.88,77.64612022,68.01361644,65.87232877,66.25473973,80.05565574,87.10419178,99.37758904,97.91369863,94.68762295,91.15983562,88.82386301,85.64846575,77.08259563,76.18542466,77.25465753,77.18813699,76.02284153,82.52950685,89.50054795,96.40252055,101.7559016,107.6139452,124.9308767,123.5316164,126.3193989,133.5725753,148.8396438,149.4676986,143.5971822,146.0978126,139.9031321,139.3911696,137.9839926,128.5247334,133.8197415,136.9888146,142.9901493,148.1476403,150.7937066,148.4645718
