,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil consumption in World,30717.16793,33083.77292,35440.69303,38354.38145,41691.65188,45229.18216,47930.67321,51450.91299,55600.62001,54819.12078,54375.17177,57772.05494,59936.17723,62877.65297,64014.88121,61400.86444,59529.54987,57916.21916,57759.50613,59024.53405,59421.66305,61256.08829,62586.32109,64567.79918,65852.3313,66667.12851,66856.21478,67907.53549,67633.34265,69235.41473,70375.90321,71851.77026,73920.26472,74535.84536,76309.48955,76988.39147,77862.51221,78762.79217,80569.44895,83367.89172,84725.72335,85727.7918,87087.3121,86578.40562,85700.42288,88764.8405,89790.31234,90662.68546,92048.92948,93109.47093,95008.05082
Oil consumption in Austria,106.6528493,118.2057808,125.6485753,144.3210383,158.6869315,175.7078082,196.2132329,211.8594536,230.3962466,207.1307123,209.7801918,225.9257377,218.2335616,236.5224384,246.077726,240.0575137,219.2166575,208.701726,204.0280548,198.3083607,200.0578904,210.2211233,216.6853699,215.3169945,213.5788493,222.8650685,241.0211781,234.3623224,236.8806575,234.2927945,232.5910137,240.0043989,245.0432329,253.8036986,249.9836712,243.0248361,263.6584384,270.1230411,291.7307671,283.3913388,286.6141644,290.5073699,275.6613973,273.6980874,263.8199452,276.0885532,261.8071781,258.1551496,263.5115068,260.3862591,262.6524145
Oil consumption in Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.3666575,168.1409863,158.3636712,161.8584153,158.3636712,166.2286575,160.3666575,155.9084699,150.8807671,139.5543562,125.5183836,111.664235,106.8659178,112.2191507,107.4260274,119.6759563,78.74734247,72.63512329,83.94479452,88.4684153,106.2394795,96.1006137,91.07149041,74.32696448,72.56410685,71.36567032,88.59913699,92.05448907,100.7533644,99.30066938,98.93895554
Oil consumption in Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491.0399452,580.654274,574.810274,555.7471585,522.2218356,483.2699452,467.6652877,397.5111475,281.493726,228.1651781,205.4868767,203.309153,178.9599178,169.1457808,155.7380274,155.186776,151.4642466,158.4435342,162.5869041,161.3201366,150.8475342,175.9078356,161.9747945,158.8421585,182.1326301,150.3727945,174.6127397,210.8004098,144.9729863,148.2978093,144.9987972
Oil consumption in Belgium,312.1127123,318.6681096,350.3951233,405.103388,468.287863,511.7093699,525.207863,566.8854098,597.8955068,529.3600548,503.7659452,523.6178962,516.7769589,551.439726,550.6590959,505.6165847,465.8093151,441.1832329,403.8560822,392.4544262,400.1878356,449.9683562,454.6130959,466.3313388,459.992274,486.887726,521.6289863,532.7323224,525.0512603,579.7486301,575.3433425,621.6867486,638.5818356,645.3497534,622.1667123,638.7730055,641.3822466,652.7006027,687.1257808,686.6075956,686.7350411,675.5315616,684.8120274,730.310929,653.1583836,683.6202192,643.7736712,620.4688525,636.6967945,637.407589,661.0467085
Oil consumption in Bulgaria,71.2209589,81.12865753,101.8273699,120.4571585,148.4716986,172.5528767,189.4688219,196.5106557,207.9781644,216.2417534,229.2824658,238.0320219,248.3377534,255.4341918,262.8343014,271.3356557,242.990137,236.080274,229.248,220.3445082,201.8531233,212.8269315,204.8835068,216.9563934,212.9130685,140.9556712,88.79909589,81.93620219,95.07865753,92.19863014,100.4408493,90.24013661,87.28909589,92.14767123,85.15731507,86.78519126,90.16334247,88.41994521,94.78923288,91.88994536,102.3849041,105.1813425,102.8059726,102.2764208,91.41747945,81.34893151,79.49131507,81.56737705,75.89424658,81.89964384,88.18220176
Oil consumption in Czech Republic,78.08336986,85.892,95.4989863,105.5605738,113.4582466,136.7287123,151.1802192,164.6743443,184.8970137,188.9551233,208.0715342,218.724071,229.6887397,237.8504658,241.8909863,224.6487705,222.3785479,206.0547123,201.9241918,215.6229781,211.7439726,205.1037808,205.3934795,197.9945082,189.6198904,173.5770685,142.9519726,137.9947541,140.256411,146.8912603,167.3898356,175.0401639,168.5455616,173.3845753,172.8555068,167.3030601,177.2509863,172.4580548,184.2869589,201.8189071,210.1666575,206.8310411,205.0851507,208.7203552,204.3618082,194.6500548,193.1310959,190.9611202,183.2692329,195.6033425,200.2602572
Oil consumption in Denmark,202.4471507,230.1234247,243.8726575,263.7703279,316.1385479,350.7370959,346.8418082,365.7013388,341.3246027,308.552274,305.6690959,325.2157923,325.6340274,327.6019452,314.0335068,268.5710383,254.569863,220.5337534,209.6284658,206.9000273,213.958,211.2204932,195.846411,193.1189891,186.903726,183.6505753,186.4756164,184.6106831,193.4194795,205.1373699,214.8870685,233.5335519,226.5649315,219.5983288,218.1230959,210.6848087,202.8215068,196.1881644,188.3195068,184.8315847,187.1372329,190.2109041,191.1573699,188.0656557,169.3519726,170.9687945,168.4565205,158.4299727,157.998137,162.4159127,164.5796182
Oil consumption in Finland,110.5699452,134.5030137,141.2494521,159.5106011,184.5926027,207.4605205,215.130274,227.9210383,254.9644384,223.2220274,231.321726,246.8856011,244.5709863,246.7836164,260.6389863,251.4652186,241.4735342,224.3267671,209.2346027,211.6359836,214.7459178,225.1177534,225.9098356,225.1445902,225.711589,225.3700548,217.9061918,212.926776,203.7483014,213.8124384,206.0373699,213.6780874,210.7674521,218.5670411,222.1078082,220.1082514,218.180274,222.0126849,234.982411,220.6706557,228.9479455,221.6481378,222.6101481,221.5617135,209.126191,219.1024521,204.6816337,193.7905636,191.2992775,182.2071366,176.5769426
Oil consumption in France,1065.496767,1145.222521,1315.156712,1418.657268,1641.933479,1860.037836,2022.416932,2237.728333,2499.07937,2374.834164,2181.478877,2349.020492,2272.066986,2398.825041,2388.385644,2219.989344,2023.296877,1883.315808,1849.98063,1786.54806,1769.061781,1809.704986,1824.201753,1807.440792,1857.161397,1894.606192,2001.128192,1995.718415,1925.516027,1864.233753,1879.298986,1916.487186,1936.284274,2002.538192,2030.202356,1994.095902,2009.877315,1953.404055,1951.501096,1963.277814,1946.151559,1942.247992,1911.417784,1889.152224,1822.304373,1762.871797,1730.210444,1676.386792,1664.49691,1616.697205,1605.572217
