,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil reserves in World,683.3755297,696.4713444,725.5745949,737.3217744,774.4486902,802.5594915,907.6736507,938.8821156,1026.70607,1027.269922,1027.506912,1097.840971,1103.825709,1104.298906,1117.970052,1126.165378,1148.759989,1162.059312,1142.411945,1281.826682,1300.925173,1305.386381,1354.860509,1362.095921,1366.186608,1374.385994,1383.727818,1418.986276,1489.955769,1529.200364,1636.488484,1675.302661,1688.260904,1695.523515,1699.980306,1697.589031
Oil reserves in Argentina,2.457000017,2.171652079,1.949599981,2.44976902,2.348999977,2.24000001,2.23300004,2.246000051,2.279900074,2.167700052,1.569987059,1.683266521,2.017437935,2.2167871,2.252632856,2.386366844,2.600434303,2.621177912,2.753414869,3.071188688,2.973702908,2.878682852,2.82050848,2.674509287,2.478009224,2.180262804,2.586760044,2.616020441,2.520308256,2.511496305,2.524151802,2.525000095,2.354209423,2.329584122,2.379709005,2.379709005
Oil reserves in Brazil,1.317966938,1.475841165,1.718439221,1.849833369,2.016010046,2.168060064,2.358414888,2.55075717,2.816137075,2.759836912,4.513040066,4.818340778,4.965742588,4.982159138,5.374442101,6.223044395,6.680678368,7.10594511,7.357254505,8.153311729,8.464488029,8.485199928,9.804286957,10.6015892,11.24303627,11.77226162,12.18200016,12.62382984,12.80142021,12.87567043,14.24633026,15.04988956,15.31422138,15.59274101,16.18411255,12.99978161
Oil reserves in Colombia,0.550000012,0.529999971,0.610000014,0.639999986,1.100000024,1.24000001,1.700000048,1.909999967,2.049999952,1.980000019,1.99000001,1.884600043,3.231899977,3.156399965,3.138999939,2.951900005,2.798000097,2.577199936,2.477799892,2.289200068,1.971899986,1.842200041,1.631700039,1.542400002,1.477599978,1.453199983,1.50940001,1.50999999,1.361999989,1.360000014,1.899999976,1.987599969,2.200000048,2.377000093,2.444999933,2.308000088
Oil reserves in Ecuador,0.97390002,0.904100001,0.913999975,0.881699979,1.137099981,1.148000002,1.235100031,1.594300032,1.514899969,1.441599965,1.355200052,1.524399996,3.24000001,3.659800053,3.49119997,3.385299921,3.453000069,3.674000025,4.102000237,4.427999973,4.565999985,4.630000114,5.059999943,5.059999943,5.059999943,4.865829945,4.464930058,4.000999928,6.518000126,6.332980156,6.157800198,7.210000038,8.383029938,8.190939903,7.999560356,7.999560356
Oil reserves in Peru,0.628445029,0.882036984,0.775144994,0.696323991,0.670445979,0.588999987,0.53579998,0.480399996,0.852999985,0.847000003,0.823199987,0.821799994,0.802600026,0.799467027,0.830892026,0.808109999,0.773521006,0.758409977,0.937382996,0.890600026,0.905619979,0.979376018,0.952890992,0.929552972,1.097303033,1.078258038,1.097288013,1.121479988,1.121479988,1.121479988,1.24000001,1.206200004,1.422700047,1.616952002,1.409846008,1.409846008
Oil reserves in Trinidad & Tobago,0.57099998,0.57099998,0.633000016,0.540000021,0.569999993,0.611999989,0.56400001,0.619499981,0.612999976,0.618600011,0.602199972,0.572600007,0.541000009,0.560100019,0.560000002,0.656599998,0.7227,0.706200004,0.740069985,0.820969999,0.851069987,0.960070014,1.125069976,0.891070008,0.808999993,0.803000011,0.793799974,0.870999992,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.829999983,0.728299975
Oil reserves in Venezuela,19.53000069,19.88800049,24.89999962,25.88699913,28.02799988,54.45399857,55.52099991,58.10100174,58.50500107,59.04000092,60.05400085,62.64899826,63.33000183,64.44799805,64.8769989,66.32900238,72.66699982,74.93099976,76.10800171,76.84799957,76.84799957,77.68499756,77.30699921,77.22599792,79.72899628,80.01200104,87.32399893,99.3769989,172.322998,211.1730042,296.5009995,297.5709991,297.7350006,298.3499908,299.9530029,300.878006
Oil reserves in Other S. & Cent. America,0.713695999,0.758244026,0.825162019,0.475310006,0.439926007,0.435399997,0.429000002,0.616119992,0.608200001,0.639989984,0.617183002,0.602537007,0.634592011,0.861201024,0.957524018,0.998921001,1.045031026,1.065113025,1.078453014,1.277355994,1.327408,1.370608006,1.625999999,1.472809009,1.468209003,1.47020001,0.844152,0.820499998,0.812069997,0.769259006,0.768359006,0.506729002,0.511529009,0.527810006,0.529145997,0.536374998
