,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil consumption in World,30717.16793,33083.77292,35440.69303,38354.38145,41691.65188,45229.18216,47930.67321,51450.91299,55600.62001,54819.12078,54375.17177,57772.05494,59936.17723,62877.65297,64014.88121,61400.86444,59529.54987,57916.21916,57759.50613,59024.53405,59421.66305,61256.08829,62586.32109,64567.79918,65852.3313,66667.12851,66856.21478,67907.53549,67633.34265,69235.41473,70375.90321,71851.77026,73920.26472,74535.84536,76309.48955,76988.39147,77862.51221,78762.79217,80569.44895,83367.89172,84725.72335,85727.7918,87087.3121,86578.40562,85700.42288,88764.8405,89790.31234,90662.68546,92048.92948,93109.47093,95008.05082
Oil consumption in Canada,1108.116301,1167.468795,1245.557068,1322.15735,1380.190329,1471.579753,1512.128247,1588.909235,1682.379178,1712.654082,1682.419918,1788.929071,1811.693233,1849.04474,1931.127589,1898.032459,1788.171096,1608.54537,1518.12474,1539.787814,1556.131534,1559.479068,1627.213151,1709.77377,1770.719342,1747.306356,1659.168493,1688.913716,1697.295781,1726.13537,1848.248824,1889.218279,1968.884379,2002.267713,2061.212959,2042.706382,2093.870156,2172.313143,2233.092532,2308.590912,2287.541269,2295.250596,2361.178944,2315.015232,2189.289066,2323.605321,2404.46394,2372.088579,2383.328487,2371.303351,2321.57076
Oil consumption in Mexico,296.3591781,309.1358082,331.2727123,361.4751639,382.5273973,411.5444932,433.79,480.6556284,514.7095616,588.5524658,662.9322466,729.9875137,755.1297808,874.0119726,950.6086712,1047.689978,1172.345041,1227.547164,1202.503219,1279.507617,1344.578274,1370.67011,1421.087603,1406.802678,1502.64263,1580.44989,1660.372712,1683.321339,1687.20189,1821.147041,1690.113616,1720.385219,1770.207288,1868.465589,1886.963315,1965.190574,1938.725425,1863.989096,1909.165753,1982.698112,2029.582695,2019.143479,2067.33359,2054.216387,1996.186177,2014.385577,2043.146027,2063.372909,2020.339283,1941.11174,1926.148471
Oil consumption in United States,11522.1877,12100.34731,12566.88047,13404.54855,14152.9851,14709.91025,15222.75808,16380.81385,17317.93277,16630.648,16333.56088,17460.74454,18443.36677,18755.94066,18438.21115,17062.35484,16059.69534,15294.96268,15234.5403,15725.35893,15726.13099,16280.89362,16664.66912,17283.25013,17325.23321,16988.18236,16713.44307,17032.7827,17236.23099,17718.64751,17724.81978,18309.3582,18620.57411,18917.18792,19518.90178,19701.3682,19648.61973,19760.90485,20033.04008,20731.54372,20802.16038,20687.41918,20680.38356,19490.41373,18771.39726,19180.12877,18882.07397,18490.21585,18961.12603,19105.6137,19395.90137
