,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil production in World,31798.58986,34563.47235,37112.78182,40429.86744,43626.88614,48056.04485,50838.48619,53661.48045,58459.5721,58613.61352,55822.22559,60409.86633,62715.78788,63338.38526,66060.19569,62958.513,59546.63704,57311.96272,56615.00686,57690.27395,57454.73038,60430.30403,60740.16527,63106.00078,63997.87005,65386.254,65204.96666,65719.07481,65985.0145,67077.10742,67995.00941,69846.40056,72102.58844,73449.62654,72291.06037,74922.05623,75161.93782,74921.90872,77605.09991,80915.55297,81896.37965,82487.43992,82277.1686,82818.20046,81181.7931,83283.12853,84096.55446,86217.72582,86590.51417,88834.19394,91670.30218
Oil production in Canada,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1812.795211,1805.117462,1908.769948,2002.418514,1961.456228,1967.735671,1983.505343,2065.57906,2189.010303,2281.334789,2402.127813,2479.917424,2587.590283,2672.381339,2604.399595,2703.401902,2727.958126,2858.164101,3003.470792,3079.881446,3040.896028,3208.38421,3290.189661,3207.035298,3202.397689,3332.0798,3514.822066,3740.237677,3999.573472,4277.862271,4385.068218
Oil production in Mexico,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912,2758,2879,2877,2897,2940.776929,3099.631422,3098.273033,3118.139576,3138.184737,3056.847974,3272.729306,3411.256349,3501.07284,3354.337982,3458.985033,3571.368007,3595.509842,3798.332569,3832.322228,3767.188215,3691.917841,3480.58543,3167.019863,2980.24363,2961.485917,2942.088631,2912.045281,2875.666941,2785.02615,2587.730392
Oil production in United States,9014.148,9579.241,10219.252,10599.743,10827.674,11296.849,11155.778,11184.896,10945.953,10461.205,10007.737,9735.639,9862.562,10274.441,10135.534,10169.626,10180.573,10198.534,10246.668,10508.951,10580.378,10231.142,9943.978,9764.689,9159.077,8914.307,9075.545,8868.125,8582.665,8388.579,8321.639,8294.527,8268.592,8010.833,7731.458,7731.604,7669.401,7625.078,7367.3,7249.995,6899.822,6825.592,6860.379,6785.137,7264.085,7549.571,7853.283,8882.721,10059.197,11722.687,12703.554
