,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Oil consumption in World,30717.16793,33083.77292,35440.69303,38354.38145,41691.65188,45229.18216,47930.67321,51450.91299,55600.62001,54819.12078,54375.17177,57772.05494,59936.17723,62877.65297,64014.88121,61400.86444,59529.54987,57916.21916,57759.50613,59024.53405,59421.66305,61256.08829,62586.32109,64567.79918,65852.3313,66667.12851,66856.21478,67907.53549,67633.34265,69235.41473,70375.90321,71851.77026,73920.26472,74535.84536,76309.48955,76988.39147,77862.51221,78762.79217,80569.44895,83367.89172,84725.72335,85727.7918,87087.3121,86578.40562,85700.42288,88764.8405,89790.31234,90662.68546,92048.92948,93109.47093,95008.05082
Oil consumption in Iran,142.8963046,155.9988737,172.2908119,189.2696201,207.3631435,223.9548766,246.1926784,273.9500905,329.3754249,382.7594963,449.6919456,506.2581926,591.5018555,652.3968088,674.0275911,591.3914709,584.6720162,635.9088026,772.3882961,826.7853063,917.9390927,842.9309549,892.2748617,928.9352789,1031.043123,1068.954658,1145.572146,1232.904139,1287.245007,1328.320057,1313.242842,1345.335981,1413.476399,1398.559059,1412.229051,1455.17356,1484.1329,1496.555668,1505.547816,1547.116172,1699.176143,1850.615697,1878.977454,1954.208187,2008.141572,1875.069562,1904.370622,1914.504819,2048.248934,2013.271312,1947.035603
Oil consumption in Israel,75.99664703,79.26201715,82.61420559,85.90756128,89.83404393,93.6539905,97.66956164,101.7746175,107.9268493,110.1123562,113.5296164,119.5722131,125.2792877,133.568411,146.482274,158.498306,161.4792603,156.9087397,149.1326575,139.0793716,132.1213973,137.1173699,153.5372329,168.5895902,173.4249315,179.9450685,185.0745205,195.4280601,204.1096986,225.3745205,253.9910137,254.156694,238.176283,258.0987898,276.0577262,279.1239219,259.3596139,257.4186839,263.6275821,248.1857897,256.9580364,247.7173618,262.0392248,254.3284095,232.3020674,240.6204595,254.3397567,294.857323,236.2847468,224.9438479,239.3183464
Oil consumption in Kuwait,108.9163685,106.3400747,103.8542117,101.2073227,99.20755112,97.02814284,96.24936986,104.2705191,99.38778082,91.2849863,72.64539726,84.28584699,81.80821918,87.8640274,98.25764384,83.10199454,112.0670959,129.6236438,143.2726301,157.1408197,152.8364932,156.883726,155.3902466,152.9069399,155.3823014,66.62389041,70.98027397,100.3260929,103.1907397,136.440137,141.693863,138.2630874,154.2643014,229.6058219,255.7691233,256.9349126,264.5867685,285.0932658,333.7160548,373.8151858,410.621737,377.6320329,382.9930742,405.8292044,454.9751087,486.0558976,465.1833916,487.3133836,512.8986976,513.541542,530.8912553
Oil consumption in Qatar,1.012520548,1.009945205,1.535917808,1.966912568,2.281178082,1.955424658,1.890328767,2.243579235,2.913041096,3.989780822,4.759150685,6.551639344,8.610739726,8.488,9.179178082,16.87368852,18.44512329,27.18468493,30.14312329,33.40199454,43.77961644,50.3060274,53.41386301,38.10530055,42.12819178,43.03843836,38.96715068,40.34013661,41.15268493,43.64315068,45.53336986,47.85393443,50.53416438,51.82969863,51.2429863,59.30808123,71.43427366,83.06575389,92.93235608,103.2479546,119.8005676,133.3521976,148.0286242,175.5256529,172.8060231,191.977808,247.498652,258.3881968,289.7894074,303.6630895,323.7411539
Oil consumption in Saudi Arabia,389.5744658,392.9160274,396.2595616,398.5525137,403.0651233,434.7413967,441.3193436,470.255456,500.5847962,525.6078116,407.847326,471.4917442,543.8954164,588.5713442,708.1688007,592.3063609,708.5561962,784.5525556,870.3591571,969.1757149,993.1929379,1000.784278,1063.112292,1093.137301,1068.648268,1136.250269,1190.570293,1155.413542,1166.455698,1403.271455,1354.26618,1400.502275,1427.967589,1509.124236,1565.573084,1626.912929,1746.010436,1809.604108,1909.589063,2055.954741,2203.220259,2274.00747,2406.642445,2622.086495,2913.554646,3217.806052,3294.87741,3462.423972,3469.279508,3731.990603,3894.722223
Oil consumption in United Arab Emirates,1.545560368,1.65618374,1.790625167,1.996976757,2.218686637,2.561845638,2.985890411,3.895519126,6.062712329,8.394657534,13.48580822,19.48663934,28.32030137,30.99372603,42.18684932,99.33021858,109.5565205,121.8060548,123.2461096,140.1618579,172.0099452,207.2287945,227.2098082,270.9286066,285.4021644,300.4999178,365.4117808,366.7351913,381.6355068,398.982274,399.709726,385.2540437,392.8552055,391.1077534,383.1814247,380.5849727,381.0172603,413.0692603,453.9398356,485.4431421,501.9164658,539.4512877,576.1499726,602.7989071,594.2996986,644.5650411,722.3102192,751.302459,765.2453151,831.7749522,900.9563258
Oil consumption in Other Middle East,161.4580371,169.4099349,177.8755256,186.3212623,196.2446504,196.9192771,219.7087671,228.6575137,236.5394795,246.7034521,265.5289315,301.446694,333.2718904,362.2713425,437.0846575,452.622541,480.5414521,527.0150411,546.2053151,599.4903552,632.3016438,653.0799178,669.2609315,705.2737158,735.5047123,803.6180822,787.3850959,843.7754098,922.0424384,976.9758356,1016.222822,1006.003852,1021.75074,1048.340192,1067.258932,1115.036047,1205.802488,1215.137288,1224.440918,1305.937765,1383.858797,1287.746809,1279.770289,1424.783888,1479.038887,1544.792242,1566.593291,1601.434137,1689.354562,1733.928752,1733.10689
